"TIER","STATE","STATE_FIPS","COUNTY","COUNTY_FIPS","POLLUTANT","POLLUTANT TYPE","EMISSIONS","UNIT OF MEASURE"
"Miscellaneous","CA","06","Contra Costa","013","PM2.5 Primary (Filt + Cond)","CAP","333.4189547931","TON"
"Fuel Comb. Other","CA","06","Mendocino","045","PM2.5 Primary (Filt + Cond)","CAP","329.82360196","TON"
"Other Industrial Processes","CA","06","Butte","007","PM2.5 Primary (Filt + Cond)","CAP","312.5731001475","TON"
"Highway Vehicles","CA","06","Fresno","019","PM2.5 Primary (Filt + Cond)","CAP","306.40111095","TON"
"Solvent Utilization","CA","06","Los Angeles","037","PM2.5 Primary (Filt + Cond)","CAP","303.914689757321","TON"
"Fuel Comb. Elec. Util.","CA","06","Kern","029","PM2.5 Primary (Filt + Cond)","CAP","301.53835263727","TON"
"Storage & Transport","CA","06","San Bernardino","071","PM2.5 Primary (Filt + Cond)","CAP","292.99223643627","TON"
"Fuel Comb. Other","CA","06","San Joaquin","077","PM2.5 Primary (Filt + Cond)","CAP","284.9573675849634","TON"
"Fuel Comb. Other","CA","06","Yolo","113","PM2.5 Primary (Filt + Cond)","CAP","283.3077489","TON"
"Other Industrial Processes","CA","06","Sonoma","097","PM2.5 Primary (Filt + Cond)","CAP","282.970954253","TON"
"Fuel Comb. Other","CA","06","Nevada","057","PM2.5 Primary (Filt + Cond)","CAP","276.60836399","TON"
"Other Industrial Processes","CA","06","Contra Costa","013","PM2.5 Primary (Filt + Cond)","CAP","269.750550857407","TON"
"Other Industrial Processes","CA","06","San Francisco","075","PM2.5 Primary (Filt + Cond)","CAP","269.612302745221","TON"
"Waste Disposal & Recycling","CA","06","Butte","007","PM2.5 Primary (Filt + Cond)","CAP","265.19440403","TON"
"Off-Highway","CA","06","San Joaquin","077","PM2.5 Primary (Filt + Cond)","CAP","261.82421789213","TON"
"Other Industrial Processes","CA","06","Yolo","113","PM2.5 Primary (Filt + Cond)","CAP","261.4856961668","TON"
"Off-Highway","CA","06","Alameda","001","PM2.5 Primary (Filt + Cond)","CAP","260.27318962131","TON"
"Other Industrial Processes","CA","06","Tulare","107","PM2.5 Primary (Filt + Cond)","CAP","258.2240485446495","TON"
"Other Industrial Processes","CA","06","Shasta","089","PM2.5 Primary (Filt + Cond)","CAP","257.717894455","TON"
"Miscellaneous","CA","06","Marin","041","PM2.5 Primary (Filt + Cond)","CAP","255.62786766131","TON"
"Waste Disposal & Recycling","CA","06","San Diego","073","PM2.5 Primary (Filt + Cond)","CAP","247.08913119","TON"
"Other Industrial Processes","CA","06","Placer","061","PM2.5 Primary (Filt + Cond)","CAP","246.97267376","TON"
"Highway Vehicles","CA","06","San Joaquin","077","PM2.5 Primary (Filt + Cond)","CAP","245.55967513","TON"
"Fuel Comb. Other","CA","06","San Mateo","081","PM2.5 Primary (Filt + Cond)","CAP","243.516564285","TON"
"Fuel Comb. Other","CA","06","Marin","041","PM2.5 Primary (Filt + Cond)","CAP","242.794816683","TON"
"Waste Disposal & Recycling","CA","06","Shasta","089","PM2.5 Primary (Filt + Cond)","CAP","235.21270666","TON"
"Fuel Comb. Other","CA","06","Stanislaus","099","PM2.5 Primary (Filt + Cond)","CAP","233.444126127398","TON"
"Off-Highway","CA","06","Kern","029","PM2.5 Primary (Filt + Cond)","CAP","231.989421869583","TON"
"Other Industrial Processes","CA","06","Sutter","101","PM2.5 Primary (Filt + Cond)","CAP","230.33586300087","TON"
"Off-Highway","CA","06","Tulare","107","PM2.5 Primary (Filt + Cond)","CAP","228.62856758009","TON"
"Other Industrial Processes","CA","06","San Mateo","081","PM2.5 Primary (Filt + Cond)","CAP","227.766548966","TON"
"Miscellaneous","CA","06","San Benito","069","PM2.5 Primary (Filt + Cond)","CAP","227.569071564215","TON"
"Highway Vehicles","CA","06","Contra Costa","013","PM2.5 Primary (Filt + Cond)","CAP","226.32563393","TON"
"Off-Highway","CA","06","Santa Clara","085","PM2.5 Primary (Filt + Cond)","CAP","225.56273852826","TON"
"Miscellaneous","CA","06","San Mateo","081","PM2.5 Primary (Filt + Cond)","CAP","222.376763124","TON"
