"TIER","STATE","STATE_FIPS","COUNTY","COUNTY_FIPS","POLLUTANT","POLLUTANT TYPE","EMISSIONS","UNIT OF MEASURE"
"Off-Highway","CT","09","New Haven","009","Sulfur Dioxide","CAP","10.502281986233","TON"
"Fuel Comb. Elec. Util.","CT","09","Windham","015","Sulfur Dioxide","CAP","10.33703","TON"
"Waste Disposal & Recycling","CT","09","Tolland","013","Volatile Organic Compounds","CAP","9.921037","TON"
"Fuel Comb. Elec. Util.","CT","09","Hartford","003","Ammonia","CAP","9.894008534","TON"
"Waste Disposal & Recycling","CT","09","New Haven","009","Lead","CAP/HAP","9.60824756","LB"
"Waste Disposal & Recycling","CT","09","Middlesex","007","Carbon Monoxide","CAP","9.278998","TON"
"Other Industrial Processes","CT","09","Windham","015","Volatile Organic Compounds","CAP","9.05569883","TON"
"Other Industrial Processes","CT","09","Tolland","013","Volatile Organic Compounds","CAP","8.92743035","TON"
"Waste Disposal & Recycling","CT","09","Middlesex","007","Volatile Organic Compounds","CAP","8.5801732","TON"
"Fuel Comb. Industrial","CT","09","Litchfield","005","Volatile Organic Compounds","CAP","8.3054917865","TON"
"Chemical & Allied Product Mfg","CT","09","Fairfield","001","Volatile Organic Compounds","CAP","8.240431064","TON"
"Fuel Comb. Industrial","CT","09","Middlesex","007","Sulfur Dioxide","CAP","7.8894080395","TON"
"Fuel Comb. Industrial","CT","09","Litchfield","005","Ammonia","CAP","7.39599542","TON"
"Off-Highway","CT","09","Fairfield","001","Sulfur Dioxide","CAP","6.92572700099","TON"
"Miscellaneous","CT","09","Litchfield","005","Nitrogen Oxides","CAP","6.52100434634","TON"
"Fuel Comb. Elec. Util.","CT","09","Middlesex","007","Lead","CAP/HAP","6.352312532","LB"
"Fuel Comb. Industrial","CT","09","Litchfield","005","Sulfur Dioxide","CAP","6.2604743513","TON"
"Fuel Comb. Elec. Util.","CT","09","New London","011","PM10 Primary (Filt + Cond)","CAP","6.10641068","TON"
"Fuel Comb. Elec. Util.","CT","09","New London","011","PM2.5 Primary (Filt + Cond)","CAP","6.09203318","TON"
"Miscellaneous","CT","09","Windham","015","Nitrogen Oxides","CAP","6.05938595393","TON"
"Fuel Comb. Industrial","CT","09","New London","011","Ammonia","CAP","5.99754012","TON"
"Waste Disposal & Recycling","CT","09","Litchfield","005","PM10 Primary (Filt + Cond)","CAP","5.739692","TON"
"Fuel Comb. Elec. Util.","CT","09","New Haven","009","Lead","CAP/HAP","5.68125592","LB"
"Fuel Comb. Elec. Util.","CT","09","Fairfield","001","Lead","CAP/HAP","5.4113852","LB"
"Fuel Comb. Industrial","CT","09","Windham","015","Sulfur Dioxide","CAP","5.3993358019","TON"
"Other Industrial Processes","CT","09","Hartford","003","Nitrogen Oxides","CAP","5.294205","TON"
"Other Industrial Processes","CT","09","Fairfield","001","Nitrogen Oxides","CAP","5.292794","TON"
"Fuel Comb. Elec. Util.","CT","09","Windham","015","Lead","CAP/HAP","5.1359448544","LB"
"Fuel Comb. Industrial","CT","09","Middlesex","007","Ammonia","CAP","5.08724501","TON"
"Other Industrial Processes","CT","09","New Haven","009","Nitrogen Oxides","CAP","4.969797","TON"
"Off-Highway","CT","09","Fairfield","001","Ammonia","CAP","4.772412313593","TON"
"Waste Disposal & Recycling","CT","09","Fairfield","001","Ammonia","CAP","4.7275182","TON"
"Off-Highway","CT","09","New London","011","Sulfur Dioxide","CAP","4.6734523536166","TON"
"Fuel Comb. Industrial","CT","09","New London","011","Lead","CAP/HAP","4.605960284","LB"
"Waste Disposal & Recycling","CT","09","Litchfield","005","PM2.5 Primary (Filt + Cond)","CAP","4.425605","TON"
"Fuel Comb. Elec. Util.","CT","09","Litchfield","005","Nitrogen Oxides","CAP","4.37682","TON"
"Petroleum & Related Industries","CT","09","Fairfield","001","Sulfur Dioxide","CAP","4.301525","TON"
"Waste Disposal & Recycling","CT","09","Windham","015","PM10 Primary (Filt + Cond)","CAP","4.296713","TON"
"Waste Disposal & Recycling","CT","09","Tolland","013","PM10 Primary (Filt + Cond)","CAP","4.253622","TON"
"Miscellaneous","CT","09","Middlesex","007","Nitrogen Oxides","CAP","3.92910200388","TON"
"Miscellaneous","CT","09","Fairfield","001","Nitrogen Oxides","CAP","3.9152104842","TON"
"Miscellaneous","CT","09","New Haven","009","Nitrogen Oxides","CAP","3.8665254464","TON"
"Miscellaneous","CT","09","New London","011","Nitrogen Oxides","CAP","3.74184121569","TON"
