"TIER","STATE","STATE_FIPS","COUNTY","COUNTY_FIPS","POLLUTANT","POLLUTANT TYPE","EMISSIONS","UNIT OF MEASURE"
"Solvent Utilization","VT","50","Grand Isle","013","Volatile Organic Compounds","CAP","45.306178","TON"
"Other Industrial Processes","VT","50","Washington","023","PM2.5 Primary (Filt + Cond)","CAP","43.9529853","TON"
"Fuel Comb. Industrial","VT","50","Orleans","019","Carbon Monoxide","CAP","42.7550311","TON"
"Other Industrial Processes","VT","50","Windham","025","PM10 Primary (Filt + Cond)","CAP","42.2318302","TON"
"Fuel Comb. Other","VT","50","Windham","025","Sulfur Dioxide","CAP","41.86769375","TON"
"Highway Vehicles","VT","50","Chittenden","007","Ammonia","CAP","41.27682595479","TON"
"Highway Vehicles","VT","50","Chittenden","007","PM2.5 Primary (Filt + Cond)","CAP","41.23996840494","TON"
"Natural Resources","VT","50","Windham","025","Nitrogen Oxides","CAP","40.94076","TON"
"Other Industrial Processes","VT","50","Orleans","019","PM10 Primary (Filt + Cond)","CAP","40.56446593","TON"
"Waste Disposal & Recycling","VT","50","Orleans","019","PM10 Primary (Filt + Cond)","CAP","40.2958508","TON"
"Fuel Comb. Industrial","VT","50","Chittenden","007","PM10 Primary (Filt + Cond)","CAP","40.11403972","TON"
"Highway Vehicles","VT","50","Grand Isle","013","Volatile Organic Compounds","CAP","39.9010866933","TON"
"Highway Vehicles","VT","50","Washington","023","PM10 Primary (Filt + Cond)","CAP","39.81485348738","TON"
"Storage & Transport","VT","50","Windham","025","Volatile Organic Compounds","CAP","39.709476196","TON"
"Highway Vehicles","VT","50","Rutland","021","PM10 Primary (Filt + Cond)","CAP","39.283521575","TON"
"Off-Highway","VT","50","Caledonia","005","Lead","CAP/HAP","39.25229292","LB"
"Waste Disposal & Recycling","VT","50","Lamoille","015","PM10 Primary (Filt + Cond)","CAP","39.0753872","TON"
"Miscellaneous","VT","50","Rutland","021","Volatile Organic Compounds","CAP","38.9395323048638","TON"
"Fuel Comb. Industrial","VT","50","Chittenden","007","PM2.5 Primary (Filt + Cond)","CAP","38.40361048","TON"
"Fuel Comb. Other","VT","50","Bennington","003","Sulfur Dioxide","CAP","38.02179745","TON"
"Off-Highway","VT","50","Windsor","027","Lead","CAP/HAP","37.4580292","LB"
"Fuel Comb. Industrial","VT","50","Washington","023","Carbon Monoxide","CAP","37.40143606","TON"
"Waste Disposal & Recycling","VT","50","Orleans","019","PM2.5 Primary (Filt + Cond)","CAP","36.6966594","TON"
"Chemical & Allied Product Mfg","VT","50","Rutland","021","PM10 Primary (Filt + Cond)","CAP","36.222","TON"
"Chemical & Allied Product Mfg","VT","50","Rutland","021","PM2.5 Primary (Filt + Cond)","CAP","36.222","TON"
"Fuel Comb. Industrial","VT","50","Windham","025","Carbon Monoxide","CAP","35.93430185","TON"
"Fuel Comb. Industrial","VT","50","Chittenden","007","Sulfur Dioxide","CAP","35.8783257","TON"
"Waste Disposal & Recycling","VT","50","Lamoille","015","PM2.5 Primary (Filt + Cond)","CAP","35.5815496","TON"
"Other Industrial Processes","VT","50","Windsor","027","PM2.5 Primary (Filt + Cond)","CAP","35.4923268","TON"
"Waste Disposal & Recycling","VT","50","Caledonia","005","PM10 Primary (Filt + Cond)","CAP","34.8437102","TON"
"Highway Vehicles","VT","50","Windham","025","PM10 Primary (Filt + Cond)","CAP","34.6912294448","TON"
"Fuel Comb. Industrial","VT","50","Orange","017","Nitrogen Oxides","CAP","33.64057832","TON"
"Off-Highway","VT","50","Orleans","019","PM10 Primary (Filt + Cond)","CAP","33.509904928944","TON"
"Highway Vehicles","VT","50","Essex","009","Volatile Organic Compounds","CAP","33.1481236328","TON"
"Other Industrial Processes","VT","50","Rutland","021","Carbon Monoxide","CAP","33.1224691","TON"
"Off-Highway","VT","50","Addison","001","PM10 Primary (Filt + Cond)","CAP","33.04967311027","TON"
"Fuel Comb. Industrial","VT","50","Rutland","021","Carbon Monoxide","CAP","33.03003554","TON"
"Fuel Comb. Other","VT","50","Windsor","027","Ammonia","CAP","33.012265014","TON"
"Fuel Comb. Other","VT","50","Washington","023","Ammonia","CAP","32.83762221","TON"
"Waste Disposal & Recycling","VT","50","Washington","023","Volatile Organic Compounds","CAP","32.797975","TON"
"Other Industrial Processes","VT","50","Addison","001","PM2.5 Primary (Filt + Cond)","CAP","32.65075457","TON"
"Fuel Comb. Other","VT","50","Rutland","021","Ammonia","CAP","32.125007092","TON"
"Waste Disposal & Recycling","VT","50","Essex","009","Carbon Monoxide","CAP","32.0642548","TON"
"Off-Highway","VT","50","Orleans","019","PM2.5 Primary (Filt + Cond)","CAP","31.985474193909","TON"
"Fuel Comb. Other","VT","50","Franklin","011","Sulfur Dioxide","CAP","31.733613482","TON"
"Waste Disposal & Recycling","VT","50","Caledonia","005","PM2.5 Primary (Filt + Cond)","CAP","31.7255838","TON"
"Waste Disposal & Recycling","VT","50","Bennington","003","PM10 Primary (Filt + Cond)","CAP","31.617998","TON"
"Off-Highway","VT","50","Addison","001","PM2.5 Primary (Filt + Cond)","CAP","31.46851443127","TON"
"Other Industrial Processes","VT","50","Orleans","019","PM2.5 Primary (Filt + Cond)","CAP","31.29507053","TON"
"Other Industrial Processes","VT","50","Windham","025","PM2.5 Primary (Filt + Cond)","CAP","30.9296924","TON"
"Off-Highway","VT","50","Windham","025","PM10 Primary (Filt + Cond)","CAP","30.020552629446","TON"
"Fuel Comb. Industrial","VT","50","Chittenden","007","Volatile Organic Compounds","CAP","29.911822791","TON"
"Fuel Comb. Other","VT","50","Addison","001","Sulfur Dioxide","CAP","29.877732107","TON"
"Other Industrial Processes","VT","50","Washington","023","Carbon Monoxide","CAP","29.7000391","TON"
"Storage & Transport","VT","50","Addison","001","Volatile Organic Compounds","CAP","29.310672381","TON"
"Off-Highway","VT","50","Windsor","027","PM10 Primary (Filt + Cond)","CAP","29.22773581891","TON"
"Highway Vehicles","VT","50","Franklin","011","PM10 Primary (Filt + Cond)","CAP","29.18897795505","TON"
"Waste Disposal & Recycling","VT","50","Bennington","003","PM2.5 Primary (Filt + Cond)","CAP","28.7831422","TON"
"Waste Disposal & Recycling","VT","50","Grand Isle","013","Carbon Monoxide","CAP","28.7552102","TON"
"Off-Highway","VT","50","Windham","025","PM2.5 Primary (Filt + Cond)","CAP","28.560483775032","TON"
"Off-Highway","VT","50","Franklin","011","PM10 Primary (Filt + Cond)","CAP","28.238601452585","TON"
"Highway Vehicles","VT","50","Windsor","027","Ammonia","CAP","27.81032052357","TON"
"Off-Highway","VT","50","Windsor","027","PM2.5 Primary (Filt + Cond)","CAP","27.75122860011","TON"
"Fuel Comb. Other","VT","50","Caledonia","005","Sulfur Dioxide","CAP","27.483442973","TON"
"Fuel Comb. Industrial","VT","50","Windsor","027","Carbon Monoxide","CAP","27.27968141","TON"
"Waste Disposal & Recycling","VT","50","Windham","025","Volatile Organic Compounds","CAP","27.2311302","TON"
"Other Industrial Processes","VT","50","Franklin","011","PM2.5 Primary (Filt + Cond)","CAP","27.2302767","TON"
"Off-Highway","VT","50","Franklin","011","PM2.5 Primary (Filt + Cond)","CAP","26.933494369385","TON"
"Waste Disposal & Recycling","VT","50","Orange","017","PM10 Primary (Filt + Cond)","CAP","26.644794","TON"
"Other Industrial Processes","VT","50","Windsor","027","Carbon Monoxide","CAP","26.5003521","TON"
"Off-Highway","VT","50","Orange","017","Lead","CAP/HAP","26.460580282","LB"
"Fuel Comb. Other","VT","50","Orleans","019","Sulfur Dioxide","CAP","26.417100396","TON"
"Fuel Comb. Other","VT","50","Essex","009","Nitrogen Oxides","CAP","26.358268661","TON"
"Fuel Comb. Other","VT","50","Orange","017","Sulfur Dioxide","CAP","26.065716171","TON"
"Fuel Comb. Other","VT","50","Grand Isle","013","Nitrogen Oxides","CAP","26.053087701","TON"
"Storage & Transport","VT","50","Orange","017","Volatile Organic Compounds","CAP","26.022150795","TON"
"Other Industrial Processes","VT","50","Windham","025","Carbon Monoxide","CAP","25.9941439","TON"
"Waste Disposal & Recycling","VT","50","Chittenden","007","Nitrogen Oxides","CAP","25.9092944","TON"
"Fuel Comb. Other","VT","50","Windham","025","Ammonia","CAP","25.334824391","TON"
"Off-Highway","VT","50","Caledonia","005","PM10 Primary (Filt + Cond)","CAP","24.685644734417","TON"
"Waste Disposal & Recycling","VT","50","Orange","017","PM2.5 Primary (Filt + Cond)","CAP","24.240881","TON"
"Fuel Comb. Industrial","VT","50","Essex","009","Nitrogen Oxides","CAP","23.76097368","TON"
"Fuel Comb. Other","VT","50","Franklin","011","Ammonia","CAP","23.754359637","TON"
"Other Industrial Processes","VT","50","Essex","009","PM2.5 Primary (Filt + Cond)","CAP","23.586793325","TON"
"Off-Highway","VT","50","Caledonia","005","PM2.5 Primary (Filt + Cond)","CAP","23.504359929117","TON"
"Highway Vehicles","VT","50","Windsor","027","PM2.5 Primary (Filt + Cond)","CAP","23.48437012659","TON"
"Highway Vehicles","VT","50","Bennington","003","PM10 Primary (Filt + Cond)","CAP","23.4629222213","TON"
"Off-Highway","VT","50","Chittenden","007","Sulfur Dioxide","CAP","23.4280189193311","TON"
"Fuel Comb. Other","VT","50","Lamoille","015","Sulfur Dioxide","CAP","23.251045907","TON"
"Highway Vehicles","VT","50","Addison","001","PM10 Primary (Filt + Cond)","CAP","22.9020464213","TON"
"Waste Disposal & Recycling","VT","50","Addison","001","Volatile Organic Compounds","CAP","22.6485452","TON"
"Waste Disposal & Recycling","VT","50","Franklin","011","Volatile Organic Compounds","CAP","22.3019448","TON"
"Other Industrial Processes","VT","50","Orange","017","PM10 Primary (Filt + Cond)","CAP","22.17002914","TON"
"Fuel Comb. Other","VT","50","Bennington","003","Ammonia","CAP","22.03841433","TON"
"Fuel Comb. Industrial","VT","50","Essex","009","PM10 Primary (Filt + Cond)","CAP","21.995558242","TON"
"Off-Highway","VT","50","Grand Isle","013","PM10 Primary (Filt + Cond)","CAP","21.987326506129","TON"
"Other Industrial Processes","VT","50","Franklin","011","Carbon Monoxide","CAP","21.4137346","TON"
"Highway Vehicles","VT","50","Caledonia","005","PM10 Primary (Filt + Cond)","CAP","21.2163804674","TON"
"Fuel Comb. Other","VT","50","Orange","017","Ammonia","CAP","21.107370574","TON"
"Off-Highway","VT","50","Windham","025","Lead","CAP/HAP","20.75455112","LB"
"Fuel Comb. Industrial","VT","50","Bennington","003","Carbon Monoxide","CAP","20.7393168","TON"
"Other Industrial Processes","VT","50","Caledonia","005","PM10 Primary (Filt + Cond)","CAP","20.67561878","TON"
"Off-Highway","VT","50","Essex","009","PM10 Primary (Filt + Cond)","CAP","20.4734507282093","TON"
"Off-Highway","VT","50","Grand Isle","013","PM2.5 Primary (Filt + Cond)","CAP","20.357912195529","TON"
"Highway Vehicles","VT","50","Orange","017","PM10 Primary (Filt + Cond)","CAP","20.26073626317","TON"
"Waste Disposal & Recycling","VT","50","Windsor","027","Volatile Organic Compounds","CAP","20.2564958","TON"
"Storage & Transport","VT","50","Lamoille","015","Volatile Organic Compounds","CAP","19.51637884","TON"
"Fuel Comb. Other","VT","50","Addison","001","Ammonia","CAP","19.40085464","TON"
"Fuel Comb. Industrial","VT","50","Addison","001","Carbon Monoxide","CAP","19.36799732","TON"
"Highway Vehicles","VT","50","Washington","023","Ammonia","CAP","19.185130406901","TON"
"Highway Vehicles","VT","50","Windham","025","Ammonia","CAP","19.019931666104","TON"
"Other Industrial Processes","VT","50","Bennington","003","PM10 Primary (Filt + Cond)","CAP","18.9583639","TON"
"Off-Highway","VT","50","Essex","009","PM2.5 Primary (Filt + Cond)","CAP","18.9464558249093","TON"
"Fuel Comb. Elec. Util.","VT","50","Chittenden","007","Volatile Organic Compounds","CAP","18.93","TON"
