"TIER","STATE","STATE_FIPS","COUNTY","COUNTY_FIPS","POLLUTANT","POLLUTANT TYPE","EMISSIONS","UNIT OF MEASURE"
"Solvent Utilization","MA","25","Suffolk","025","Sulfur Dioxide","CAP",".3382233","TON"
"Storage & Transport","MA","25","Hampshire","015","PM2.5 Primary (Filt + Cond)","CAP",".33","TON"
"Solvent Utilization","MA","25","Hampshire","015","Carbon Monoxide","CAP",".3173488","TON"
"Fuel Comb. Elec. Util.","MA","25","Essex","009","Ammonia","CAP",".3155","TON"
"Storage & Transport","MA","25","Hampden","013","Lead","CAP/HAP",".315256046","LB"
"Storage & Transport","MA","25","Plymouth","023","PM10 Primary (Filt + Cond)","CAP",".3099","TON"
"Chemical & Allied Product Mfg","MA","25","Middlesex","017","PM2.5 Primary (Filt + Cond)","CAP",".3085","TON"
"Solvent Utilization","MA","25","Plymouth","023","Nitrogen Oxides","CAP",".3046548","TON"
"Storage & Transport","MA","25","Worcester","027","Ammonia","CAP",".3","TON"
"Storage & Transport","MA","25","Nantucket","019","Lead","CAP/HAP",".293317224","LB"
"Solvent Utilization","MA","25","Bristol","005","Sulfur Dioxide","CAP",".2901273","TON"
"Waste Disposal & Recycling","MA","25","Nantucket","019","Sulfur Dioxide","CAP",".28694124","TON"
"Storage & Transport","MA","25","Norfolk","021","Lead","CAP/HAP",".283367116","LB"
"Fuel Comb. Industrial","MA","25","Dukes","007","Ammonia","CAP",".280796983","TON"
"Storage & Transport","MA","25","Berkshire","003","Ammonia","CAP",".28","TON"
"Fuel Comb. Industrial","MA","25","Dukes","007","Lead","CAP/HAP",".2797808","LB"
"Solvent Utilization","MA","25","Barnstable","001","Nitrogen Oxides","CAP",".2788719","TON"
"Storage & Transport","MA","25","Hampshire","015","Lead","CAP/HAP",".278767212","LB"
"Fuel Comb. Industrial","MA","25","Nantucket","019","Ammonia","CAP",".273569029","TON"
"Miscellaneous","MA","25","Franklin","011","Lead","CAP/HAP",".27264822774","LB"
"Fuel Comb. Industrial","MA","25","Nantucket","019","Lead","CAP/HAP",".26130096","LB"
"Fuel Comb. Elec. Util.","MA","25","Plymouth","023","Lead","CAP/HAP",".2498796","LB"
