"TIER","STATE","STATE_FIPS","COUNTY","COUNTY_FIPS","POLLUTANT","POLLUTANT TYPE","EMISSIONS","UNIT OF MEASURE"
"Other Industrial Processes","ME","23","Oxford","017","PM10 Primary (Filt + Cond)","CAP","205.2022076","TON"
"Off-Highway","ME","23","Cumberland","005","Lead","CAP/HAP","204.7698354888","LB"
"Natural Resources","ME","23","Somerset","025","Nitrogen Oxides","CAP","201.2753","TON"
"Fuel Comb. Industrial","ME","23","Washington","029","PM2.5 Primary (Filt + Cond)","CAP","199.8315085049","TON"
"Miscellaneous","ME","23","Washington","029","PM2.5 Primary (Filt + Cond)","CAP","198.006131220482","TON"
"Miscellaneous","ME","23","Knox","013","PM2.5 Primary (Filt + Cond)","CAP","195.981459892425","TON"
"Fuel Comb. Other","ME","23","Somerset","025","Nitrogen Oxides","CAP","195.367512","TON"
"Storage & Transport","ME","23","York","031","Volatile Organic Compounds","CAP","193.14165185","TON"
"Miscellaneous","ME","23","Waldo","027","Ammonia","CAP","192.79493895","TON"
"Fuel Comb. Industrial","ME","23","Waldo","027","PM10 Primary (Filt + Cond)","CAP","190.681802475","TON"
"Fuel Comb. Industrial","ME","23","Lincoln","015","Carbon Monoxide","CAP","189.976850604","TON"
"Off-Highway","ME","23","Hancock","009","Lead","CAP/HAP","189.05798355184","LB"
"Fuel Comb. Other","ME","23","Knox","013","Volatile Organic Compounds","CAP","186.548754275","TON"
"Other Industrial Processes","ME","23","Aroostook","003","PM10 Primary (Filt + Cond)","CAP","185.2207841609","TON"
"Fuel Comb. Other","ME","23","Sagadahoc","023","Volatile Organic Compounds","CAP","184.988140187","TON"
"Fuel Comb. Other","ME","23","Knox","013","PM10 Primary (Filt + Cond)","CAP","184.02726575539","TON"
"Solvent Utilization","ME","23","Lincoln","015","Volatile Organic Compounds","CAP","183.0433871","TON"
"Fuel Comb. Other","ME","23","Knox","013","PM2.5 Primary (Filt + Cond)","CAP","183.04257474839","TON"
"Fuel Comb. Other","ME","23","Sagadahoc","023","PM10 Primary (Filt + Cond)","CAP","182.605579308","TON"
"Waste Disposal & Recycling","ME","23","Androscoggin","001","PM10 Primary (Filt + Cond)","CAP","181.7915725","TON"
"Fuel Comb. Other","ME","23","Sagadahoc","023","PM2.5 Primary (Filt + Cond)","CAP","181.672773195","TON"
"Highway Vehicles","ME","23","York","031","PM10 Primary (Filt + Cond)","CAP","178.2076756407","TON"
"Miscellaneous","ME","23","York","031","Ammonia","CAP","178.19937694","TON"
"Fuel Comb. Other","ME","23","Oxford","017","Nitrogen Oxides","CAP","177.4972342","TON"
"Fuel Comb. Elec. Util.","ME","23","Cumberland","005","Carbon Monoxide","CAP","176.5611","TON"
"Miscellaneous","ME","23","Washington","029","Ammonia","CAP","175.6721168","TON"
"Fuel Comb. Elec. Util.","ME","23","Cumberland","005","Nitrogen Oxides","CAP","175.3528","TON"
"Fuel Comb. Industrial","ME","23","Piscataquis","021","PM10 Primary (Filt + Cond)","CAP","174.97851479584","TON"
"Other Industrial Processes","ME","23","Cumberland","005","PM2.5 Primary (Filt + Cond)","CAP","174.366174049","TON"
"Other Industrial Processes","ME","23","Franklin","007","Sulfur Dioxide","CAP","174.178","TON"
"Miscellaneous","ME","23","Franklin","007","Ammonia","CAP","172.4223413","TON"
"Waste Disposal & Recycling","ME","23","Oxford","017","PM10 Primary (Filt + Cond)","CAP","172.117972","TON"
"Fuel Comb. Other","ME","23","York","031","Sulfur Dioxide","CAP","166.43246542","TON"
"Off-Highway","ME","23","Franklin","007","Nitrogen Oxides","CAP","166.058753890094","TON"
"Miscellaneous","ME","23","Piscataquis","021","PM2.5 Primary (Filt + Cond)","CAP","165.746387093388","TON"
"Waste Disposal & Recycling","ME","23","Androscoggin","001","PM2.5 Primary (Filt + Cond)","CAP","165.1643345","TON"
"Other Industrial Processes","ME","23","Oxford","017","PM2.5 Primary (Filt + Cond)","CAP","158.6766255","TON"
"Fuel Comb. Industrial","ME","23","Waldo","027","PM2.5 Primary (Filt + Cond)","CAP","157.869034965","TON"
"Waste Disposal & Recycling","ME","23","Oxford","017","PM2.5 Primary (Filt + Cond)","CAP","156.257222","TON"
"Natural Resources","ME","23","Washington","029","Nitrogen Oxides","CAP","155.5569","TON"
"Natural Resources","ME","23","Piscataquis","021","Nitrogen Oxides","CAP","155.3945","TON"
"Fuel Comb. Industrial","ME","23","Lincoln","015","Nitrogen Oxides","CAP","153.52193107","TON"
"Fuel Comb. Industrial","ME","23","Lincoln","015","PM10 Primary (Filt + Cond)","CAP","152.582991401","TON"
"Off-Highway","ME","23","Cumberland","005","PM10 Primary (Filt + Cond)","CAP","152.471598657738","TON"
"Other Industrial Processes","ME","23","Washington","029","Sulfur Dioxide","CAP","151.821","TON"
"Other Industrial Processes","ME","23","Franklin","007","PM10 Primary (Filt + Cond)","CAP","151.69634034","TON"
"Miscellaneous","ME","23","Penobscot","019","Volatile Organic Compounds","CAP","151.693809203077","TON"
"Other Industrial Processes","ME","23","Franklin","007","Volatile Organic Compounds","CAP","150.663659163","TON"
"Other Industrial Processes","ME","23","Cumberland","005","Carbon Monoxide","CAP","150.57906","TON"
"Waste Disposal & Recycling","ME","23","Aroostook","003","PM10 Primary (Filt + Cond)","CAP","150.480212","TON"
"Solvent Utilization","ME","23","Washington","029","Volatile Organic Compounds","CAP","150.42317751","TON"
"Fuel Comb. Industrial","ME","23","Piscataquis","021","Nitrogen Oxides","CAP","150.23285625","TON"
"Miscellaneous","ME","23","Lincoln","015","PM2.5 Primary (Filt + Cond)","CAP","150.010144385222","TON"
"Miscellaneous","ME","23","Cumberland","005","Ammonia","CAP","149.39666753","TON"
"Miscellaneous","ME","23","Washington","029","Volatile Organic Compounds","CAP","148.6933474135897","TON"
"Miscellaneous","ME","23","Knox","013","Carbon Monoxide","CAP","148.438017775799","TON"
"Fuel Comb. Other","ME","23","Waldo","027","Nitrogen Oxides","CAP","145.4294584","TON"
"Fuel Comb. Elec. Util.","ME","23","Franklin","007","Nitrogen Oxides","CAP","144.6912","TON"
"Other Industrial Processes","ME","23","Aroostook","003","PM2.5 Primary (Filt + Cond)","CAP","144.464545618","TON"
"Miscellaneous","ME","23","Franklin","007","PM2.5 Primary (Filt + Cond)","CAP","143.995786044113","TON"
"Off-Highway","ME","23","Cumberland","005","PM2.5 Primary (Filt + Cond)","CAP","143.817765552724","TON"
"Miscellaneous","ME","23","Kennebec","011","Carbon Monoxide","CAP","141.50419115872","TON"
"Fuel Comb. Industrial","ME","23","Piscataquis","021","PM2.5 Primary (Filt + Cond)","CAP","141.35226423084","TON"
"Miscellaneous","ME","23","Oxford","017","Carbon Monoxide","CAP","140.281073477596","TON"
"Other Industrial Processes","ME","23","Knox","013","Carbon Monoxide","CAP","139.5525849","TON"
"Off-Highway","ME","23","Knox","013","Lead","CAP/HAP","137.814795298","LB"
"Other Industrial Processes","ME","23","Franklin","007","PM2.5 Primary (Filt + Cond)","CAP","137.43201652","TON"
"Waste Disposal & Recycling","ME","23","Aroostook","003","PM2.5 Primary (Filt + Cond)","CAP","136.403512","TON"
"Miscellaneous","ME","23","Hancock","009","Ammonia","CAP","136.28412448","TON"
"Waste Disposal & Recycling","ME","23","Hancock","009","PM10 Primary (Filt + Cond)","CAP","135.87532","TON"
"Off-Highway","ME","23","Somerset","025","Lead","CAP/HAP","134.71172842","LB"
"Solvent Utilization","ME","23","Piscataquis","021","Volatile Organic Compounds","CAP","133.42609584","TON"
"Fuel Comb. Industrial","ME","23","Lincoln","015","PM2.5 Primary (Filt + Cond)","CAP","132.708456044","TON"
"Storage & Transport","ME","23","Waldo","027","Volatile Organic Compounds","CAP","132.151026353","TON"
"Waste Disposal & Recycling","ME","23","Somerset","025","PM10 Primary (Filt + Cond)","CAP","131.800726","TON"
"Waste Disposal & Recycling","ME","23","Penobscot","019","Volatile Organic Compounds","CAP","131.694582","TON"
"Fuel Comb. Other","ME","23","Knox","013","Nitrogen Oxides","CAP","130.54581673","TON"
"Waste Disposal & Recycling","ME","23","Somerset","025","Volatile Organic Compounds","CAP","129.989907","TON"
"Off-Highway","ME","23","Aroostook","003","Lead","CAP/HAP","129.25828644","LB"
"Storage & Transport","ME","23","Lincoln","015","Volatile Organic Compounds","CAP","128.817763114","TON"
