"TIER","STATE","STATE_FIPS","COUNTY","COUNTY_FIPS","POLLUTANT","POLLUTANT TYPE","EMISSIONS","UNIT OF MEASURE"
"Highway Vehicles","CA","06","Contra Costa","013","Carbon Monoxide","CAP","15555.7673454","TON"
"Off-Highway","CA","06","Fresno","019","Carbon Monoxide","CAP","15521.85287713","TON"
"Miscellaneous","CA","06","Plumas","063","Volatile Organic Compounds","CAP","15423.9533611103557","TON"
"Off-Highway","CA","06","San Francisco","075","Carbon Monoxide","CAP","15211.83622579","TON"
"Miscellaneous","CA","06","Humboldt","023","Carbon Monoxide","CAP","15167.73408066013","TON"
"Highway Vehicles","CA","06","Riverside","065","Nitrogen Oxides","CAP","15150.78892505","TON"
"Miscellaneous","CA","06","San Bernardino","071","PM10 Primary (Filt + Cond)","CAP","15072.0879517702","TON"
"Miscellaneous","CA","06","Shasta","089","Carbon Monoxide","CAP","15032.79563602376","TON"
"Miscellaneous","CA","06","Santa Barbara","083","PM10 Primary (Filt + Cond)","CAP","14984.15938764748","TON"
"Miscellaneous","CA","06","Tuolumne","109","PM10 Primary (Filt + Cond)","CAP","14293.799214708273","TON"
"Highway Vehicles","CA","06","Ventura","111","Carbon Monoxide","CAP","14191.0667255","TON"
"Miscellaneous","CA","06","Napa","055","PM10 Primary (Filt + Cond)","CAP","14049.80569496861","TON"
"Petroleum & Related Industries","CA","06","Kern","029","Volatile Organic Compounds","CAP","14042.300800619","TON"
"Highway Vehicles","CA","06","San Joaquin","077","Carbon Monoxide","CAP","13925.4304985","TON"
"Miscellaneous","CA","06","Siskiyou","093","Nitrogen Oxides","CAP","13817.859983650369","TON"
"Miscellaneous","CA","06","Lake","033","Carbon Monoxide","CAP","13628.036946821076","TON"
"Off-Highway","CA","06","Ventura","111","Carbon Monoxide","CAP","13609.71428959378","TON"
"Off-Highway","CA","06","San Joaquin","077","Carbon Monoxide","CAP","13572.633852611","TON"
"Fuel Comb. Other","CA","06","Sacramento","067","Carbon Monoxide","CAP","13491.509779348","TON"
"Highway Vehicles","CA","06","San Diego","073","Nitrogen Oxides","CAP","13083.6974059","TON"
"Miscellaneous","CA","06","San Bernardino","071","Ammonia","CAP","12467.6800795","TON"
"Miscellaneous","CA","06","Mono","051","Carbon Monoxide","CAP","12348.812641627631","TON"
"Miscellaneous","CA","06","Del Norte","015","PM10 Primary (Filt + Cond)","CAP","12348.515161142681","TON"
"Miscellaneous","CA","06","Trinity","105","Volatile Organic Compounds","CAP","11914.2208218681099","TON"
"Off-Highway","CA","06","Kern","029","Carbon Monoxide","CAP","11716.2601023522","TON"
"Miscellaneous","CA","06","Sonoma","097","Ammonia","CAP","11510.782224","TON"
"Miscellaneous","CA","06","Napa","055","PM2.5 Primary (Filt + Cond)","CAP","11477.08803356133","TON"
"Miscellaneous","CA","06","Orange","059","Carbon Monoxide","CAP","11293.9132413253","TON"
"Miscellaneous","CA","06","Tuolumne","109","PM2.5 Primary (Filt + Cond)","CAP","11195.822293301557","TON"
"Highway Vehicles","CA","06","Kern","029","Nitrogen Oxides","CAP","11186.8703347","TON"
"Highway Vehicles","CA","06","Monterey","053","Carbon Monoxide","CAP","10799.2685142","TON"
"Miscellaneous","CA","06","Monterey","053","Carbon Monoxide","CAP","10792.68463735578","TON"
"Miscellaneous","CA","06","Kern","029","PM10 Primary (Filt + Cond)","CAP","10749.2331598219","TON"
"Miscellaneous","CA","06","Santa Cruz","087","Carbon Monoxide","CAP","10738.72347107244","TON"
"Fuel Comb. Other","CA","06","Los Angeles","037","Carbon Monoxide","CAP","10673.484520601","TON"
"Off-Highway","CA","06","San Diego","073","Nitrogen Oxides","CAP","10385.9477859095","TON"
"Off-Highway","CA","06","Sonoma","097","Carbon Monoxide","CAP","10335.53368924","TON"
"Solvent Utilization","CA","06","Orange","059","Volatile Organic Compounds","CAP","10317.741501301935","TON"
"Miscellaneous","CA","06","Madera","039","Ammonia","CAP","10307.0165221","TON"
"Highway Vehicles","CA","06","San Mateo","081","Carbon Monoxide","CAP","10133.7666206","TON"
"Miscellaneous","CA","06","Fresno","019","PM2.5 Primary (Filt + Cond)","CAP","10101.5690169472","TON"
"Miscellaneous","CA","06","Santa Barbara","083","PM2.5 Primary (Filt + Cond)","CAP","9982.36729886075","TON"
"Miscellaneous","CA","06","Mariposa","043","PM10 Primary (Filt + Cond)","CAP","9944.892720328084","TON"
"Miscellaneous","CA","06","Solano","095","Carbon Monoxide","CAP","9580.29945686894","TON"
"Miscellaneous","CA","06","Del Norte","015","PM2.5 Primary (Filt + Cond)","CAP","9466.863675224482","TON"
"Miscellaneous","CA","06","Mendocino","045","Carbon Monoxide","CAP","9443.23724734552","TON"
"Highway Vehicles","CA","06","Santa Barbara","083","Carbon Monoxide","CAP","9354.0020384","TON"
"Highway Vehicles","CA","06","Orange","059","Nitrogen Oxides","CAP","9335.54085634","TON"
"Miscellaneous","CA","06","Plumas","063","PM10 Primary (Filt + Cond)","CAP","9271.34692289522","TON"
"Miscellaneous","CA","06","Los Angeles","037","Ammonia","CAP","9170.4154463","TON"
"Miscellaneous","CA","06","Madera","039","Volatile Organic Compounds","CAP","9069.372092156868","TON"
"Highway Vehicles","CA","06","Sonoma","097","Carbon Monoxide","CAP","9060.1215012","TON"
"Miscellaneous","CA","06","Modoc","049","Volatile Organic Compounds","CAP","8972.119412841419","TON"
"Miscellaneous","CA","06","Siskiyou","093","Sulfur Dioxide","CAP","8965.720356748128","TON"
"Miscellaneous","CA","06","Lassen","035","Carbon Monoxide","CAP","8904.507792764016","TON"
"Off-Highway","CA","06","Tulare","107","Carbon Monoxide","CAP","8846.29029021","TON"
"Highway Vehicles","CA","06","Solano","095","Carbon Monoxide","CAP","8837.7941324","TON"
"Highway Vehicles","CA","06","Tulare","107","Carbon Monoxide","CAP","8755.7601695","TON"
"Solvent Utilization","CA","06","Santa Clara","085","Volatile Organic Compounds","CAP","8619.484076018217","TON"
"Other Industrial Processes","CA","06","San Bernardino","071","Nitrogen Oxides","CAP","8554.89145056","TON"
"Highway Vehicles","CA","06","Stanislaus","099","Carbon Monoxide","CAP","8499.1080156","TON"
"Highway Vehicles","CA","06","Alameda","001","Nitrogen Oxides","CAP","8427.05392795","TON"
"Off-Highway","CA","06","Placer","061","Carbon Monoxide","CAP","8314.84202494","TON"
"Miscellaneous","CA","06","Merced","047","PM10 Primary (Filt + Cond)","CAP","8311.49425291899","TON"
"Solvent Utilization","CA","06","Fresno","019","Volatile Organic Compounds","CAP","8286.843340836","TON"
"Miscellaneous","CA","06","Riverside","065","Ammonia","CAP","8258.9060975","TON"
"Solvent Utilization","CA","06","Riverside","065","Volatile Organic Compounds","CAP","8232.6594248705","TON"
"Off-Highway","CA","06","San Diego","073","Volatile Organic Compounds","CAP","8148.25318226068","TON"
"Off-Highway","CA","06","Alameda","001","Nitrogen Oxides","CAP","8100.2085046269","TON"
"Off-Highway","CA","06","Monterey","053","Carbon Monoxide","CAP","8039.56012312","TON"
"Highway Vehicles","CA","06","Placer","061","Carbon Monoxide","CAP","8013.1194228","TON"
"Fuel Comb. Industrial","CA","06","Los Angeles","037","Nitrogen Oxides","CAP","7961.66627377796","TON"
"Miscellaneous","CA","06","Mariposa","043","PM2.5 Primary (Filt + Cond)","CAP","7931.841275805254","TON"
"Solvent Utilization","CA","06","Alameda","001","Volatile Organic Compounds","CAP","7802.389243570214","TON"
"Miscellaneous","CA","06","Madera","039","PM10 Primary (Filt + Cond)","CAP","7693.09215131581","TON"
"Off-Highway","CA","06","Orange","059","Volatile Organic Compounds","CAP","7656.2189307501","TON"
"Off-Highway","CA","06","Stanislaus","099","Carbon Monoxide","CAP","7543.12717605249","TON"
"Miscellaneous","CA","06","Stanislaus","099","PM10 Primary (Filt + Cond)","CAP","7522.51457130568","TON"
"Off-Highway","CA","06","Los Angeles","037","Lead","CAP/HAP","7470.35681762744","LB"
"Fuel Comb. Other","CA","06","Contra Costa","013","Carbon Monoxide","CAP","7339.137561442","TON"
"Miscellaneous","CA","06","Trinity","105","PM10 Primary (Filt + Cond)","CAP","7326.465833850029","TON"
"Solvent Utilization","CA","06","San Bernardino","071","Volatile Organic Compounds","CAP","7304.78156876778349","TON"
"Highway Vehicles","CA","06","San Diego","073","Volatile Organic Compounds","CAP","7234.787493113","TON"
"Miscellaneous","CA","06","San Joaquin","077","PM10 Primary (Filt + Cond)","CAP","7222.5758949125","TON"
"Miscellaneous","CA","06","Calaveras","009","Carbon Monoxide","CAP","7212.713246332622","TON"
"Off-Highway","CA","06","Santa Barbara","083","Carbon Monoxide","CAP","7161.3983855799","TON"
"Miscellaneous","CA","06","Sacramento","067","PM10 Primary (Filt + Cond)","CAP","7107.950060014","TON"
"Fuel Comb. Other","CA","06","Plumas","063","Carbon Monoxide","CAP","7083.78251499","TON"
"Off-Highway","CA","06","Marin","041","Carbon Monoxide","CAP","7076.74980906","TON"
"Off-Highway","CA","06","San Luis Obispo","079","Carbon Monoxide","CAP","7057.9980110219","TON"
"Miscellaneous","CA","06","El Dorado","017","Volatile Organic Compounds","CAP","7032.689944416997","TON"
"Highway Vehicles","CA","06","Fresno","019","Nitrogen Oxides","CAP","7028.8139369","TON"
"Off-Highway","CA","06","Riverside","065","Nitrogen Oxides","CAP","7009.89735034865","TON"
"Off-Highway","CA","06","San Mateo","081","Nitrogen Oxides","CAP","6962.797152288","TON"
"Off-Highway","CA","06","Solano","095","Carbon Monoxide","CAP","6953.72270479","TON"
"Miscellaneous","CA","06","Yolo","113","PM10 Primary (Filt + Cond)","CAP","6876.08145244565","TON"
"Highway Vehicles","CA","06","Sacramento","067","Nitrogen Oxides","CAP","6770.8280711","TON"
"Miscellaneous","CA","06","Tulare","107","Nitrogen Oxides","CAP","6770.29774612779","TON"
"Miscellaneous","CA","06","Merced","047","Volatile Organic Compounds","CAP","6713.33961368883","TON"
"Miscellaneous","CA","06","Modoc","049","PM10 Primary (Filt + Cond)","CAP","6707.126075923356","TON"
"Off-Highway","CA","06","Orange","059","Nitrogen Oxides","CAP","6694.965723019","TON"
"Highway Vehicles","CA","06","Shasta","089","Carbon Monoxide","CAP","6575.3755915","TON"
"Miscellaneous","CA","06","Los Angeles","037","Volatile Organic Compounds","CAP","6526.3002056127","TON"
"Highway Vehicles","CA","06","Santa Clara","085","Nitrogen Oxides","CAP","6481.2345012","TON"
"Miscellaneous","CA","06","Kern","029","Volatile Organic Compounds","CAP","6462.90777775689","TON"
"Highway Vehicles","CA","06","San Francisco","075","Carbon Monoxide","CAP","6375.5610315","TON"
"Miscellaneous","CA","06","Imperial","025","Carbon Monoxide","CAP","6341.4112120426","TON"
"Off-Highway","CA","06","Shasta","089","Carbon Monoxide","CAP","6307.04036437649","TON"
"Miscellaneous","CA","06","Monterey","053","PM10 Primary (Filt + Cond)","CAP","6279.52878682195","TON"
"Miscellaneous","CA","06","Kings","031","PM10 Primary (Filt + Cond)","CAP","6245.29460066481","TON"
"Miscellaneous","CA","06","Nevada","057","Volatile Organic Compounds","CAP","6135.132737512086","TON"
"Miscellaneous","CA","06","San Luis Obispo","079","Carbon Monoxide","CAP","6128.75516027926","TON"
"Highway Vehicles","CA","06","Merced","047","Carbon Monoxide","CAP","6117.304803","TON"
"Miscellaneous","CA","06","Ventura","111","Ammonia","CAP","6088.72107267","TON"
"Solvent Utilization","CA","06","Sacramento","067","Volatile Organic Compounds","CAP","6057.249110184","TON"
"Off-Highway","CA","06","Fresno","019","Nitrogen Oxides","CAP","6046.294491794","TON"
"Miscellaneous","CA","06","Tehama","103","Carbon Monoxide","CAP","6020.796167483902","TON"
"Petroleum & Related Industries","CA","06","Los Angeles","037","Volatile Organic Compounds","CAP","5990.90141355863","TON"
"Other Industrial Processes","CA","06","San Bernardino","071","PM10 Primary (Filt + Cond)","CAP","5976.0694002026","TON"
"Highway Vehicles","CA","06","San Luis Obispo","079","Carbon Monoxide","CAP","5946.0388681","TON"
"Off-Highway","CA","06","San Bernardino","071","Volatile Organic Compounds","CAP","5934.8928980980972","TON"
"Miscellaneous","CA","06","Yuba","115","Carbon Monoxide","CAP","5890.12576251583","TON"
"Fuel Comb. Other","CA","06","San Diego","073","Carbon Monoxide","CAP","5877.15027571","TON"
"Miscellaneous","CA","06","El Dorado","017","PM10 Primary (Filt + Cond)","CAP","5796.20484204017","TON"
"Miscellaneous","CA","06","Kings","031","Carbon Monoxide","CAP","5766.34023879773","TON"
"Miscellaneous","CA","06","Plumas","063","PM2.5 Primary (Filt + Cond)","CAP","5758.96189174922","TON"
"Highway Vehicles","CA","06","Orange","059","Volatile Organic Compounds","CAP","5741.54878879784","TON"
"Highway Vehicles","CA","06","Santa Cruz","087","Carbon Monoxide","CAP","5730.7481268","TON"
"Highway Vehicles","CA","06","San Bernardino","071","Volatile Organic Compounds","CAP","5708.85335279","TON"
"Off-Highway","CA","06","San Francisco","075","Nitrogen Oxides","CAP","5657.703622336","TON"
"Miscellaneous","CA","06","Butte","007","PM10 Primary (Filt + Cond)","CAP","5645.11967539131","TON"
"Miscellaneous","CA","06","Riverside","065","Volatile Organic Compounds","CAP","5622.39540490887","TON"
"Fuel Comb. Other","CA","06","Santa Clara","085","Carbon Monoxide","CAP","5622.249017491","TON"
"Miscellaneous","CA","06","Placer","061","Carbon Monoxide","CAP","5482.21605642818","TON"
"Other Industrial Processes","CA","06","San Bernardino","071","Carbon Monoxide","CAP","5479.866548035","TON"
"Miscellaneous","CA","06","Butte","007","Volatile Organic Compounds","CAP","5407.046323739937","TON"
"Off-Highway","CA","06","Butte","007","Carbon Monoxide","CAP","5369.738523776","TON"
"Solvent Utilization","CA","06","Kern","029","Volatile Organic Compounds","CAP","5354.985459009","TON"
"Miscellaneous","CA","06","Orange","059","PM10 Primary (Filt + Cond)","CAP","5317.0438486143","TON"
"Miscellaneous","CA","06","Inyo","027","PM10 Primary (Filt + Cond)","CAP","5303.869326080486","TON"
"Highway Vehicles","CA","06","San Joaquin","077","Nitrogen Oxides","CAP","5285.44867","TON"
"Other Industrial Processes","CA","06","Los Angeles","037","PM10 Primary (Filt + Cond)","CAP","5227.95720985392395","TON"
"Off-Highway","CA","06","Kern","029","Nitrogen Oxides","CAP","5223.6077698106","TON"
"Miscellaneous","CA","06","Humboldt","023","PM10 Primary (Filt + Cond)","CAP","5220.9007878079","TON"
"Miscellaneous","CA","06","Ventura","111","Nitrogen Oxides","CAP","5189.85562124","TON"
"Highway Vehicles","CA","06","Butte","007","Carbon Monoxide","CAP","5137.7686507","TON"
"Highway Vehicles","CA","06","Riverside","065","Volatile Organic Compounds","CAP","5103.59165806718","TON"
"Highway Vehicles","CA","06","Imperial","025","Carbon Monoxide","CAP","5094.2433262","TON"
"Fuel Comb. Other","CA","06","Ventura","111","Carbon Monoxide","CAP","5002.4364105222","TON"
"Highway Vehicles","CA","06","Los Angeles","037","PM10 Primary (Filt + Cond)","CAP","4948.2735637","TON"
"Miscellaneous","CA","06","Stanislaus","099","Volatile Organic Compounds","CAP","4925.510410745849","TON"
"Miscellaneous","CA","06","Sacramento","067","Ammonia","CAP","4914.803201","TON"
"Miscellaneous","CA","06","Inyo","027","Carbon Monoxide","CAP","4895.452022067374","TON"
"Off-Highway","CA","06","El Dorado","017","Carbon Monoxide","CAP","4836.27030808948","TON"
"Miscellaneous","CA","06","Los Angeles","037","PM2.5 Primary (Filt + Cond)","CAP","4820.687226701","TON"
"Miscellaneous","CA","06","Placer","061","PM10 Primary (Filt + Cond)","CAP","4812.29213797439","TON"
"Solvent Utilization","CA","06","Contra Costa","013","Volatile Organic Compounds","CAP","4748.699784495126","TON"
"Off-Highway","CA","06","Humboldt","023","Carbon Monoxide","CAP","4745.58842525","TON"
"Solvent Utilization","CA","06","Monterey","053","Volatile Organic Compounds","CAP","4721.24342874","TON"
"Fuel Comb. Other","CA","06","Los Angeles","037","Nitrogen Oxides","CAP","4676.079060134","TON"
"Off-Highway","CA","06","San Diego","073","Lead","CAP/HAP","4675.25801618207","LB"
"Off-Highway","CA","06","San Joaquin","077","Nitrogen Oxides","CAP","4664.3322768348","TON"
"Miscellaneous","CA","06","Nevada","057","PM10 Primary (Filt + Cond)","CAP","4656.36710293807","TON"
"Off-Highway","CA","06","Merced","047","Carbon Monoxide","CAP","4640.83101407","TON"
"Miscellaneous","CA","06","Monterey","053","Ammonia","CAP","4620.41829526","TON"
"Fuel Comb. Industrial","CA","06","Los Angeles","037","Carbon Monoxide","CAP","4614.12589919529","TON"
"Highway Vehicles","CA","06","Humboldt","023","Carbon Monoxide","CAP","4599.74690419","TON"
"Miscellaneous","CA","06","Trinity","105","PM2.5 Primary (Filt + Cond)","CAP","4599.266371183596","TON"
"Solvent Utilization","CA","06","Ventura","111","Volatile Organic Compounds","CAP","4595.505115668","TON"
"Miscellaneous","CA","06","Shasta","089","PM10 Primary (Filt + Cond)","CAP","4548.48289975337","TON"
"Off-Highway","CA","06","Tuolumne","109","Carbon Monoxide","CAP","4531.0021879","TON"
"Other Industrial Processes","CA","06","Santa Clara","085","Carbon Monoxide","CAP","4508.305025169","TON"
"Highway Vehicles","CA","06","El Dorado","017","Carbon Monoxide","CAP","4501.5275105","TON"
"Fuel Comb. Other","CA","06","Butte","007","Carbon Monoxide","CAP","4488.57211939","TON"
"Off-Highway","CA","06","Santa Clara","085","Nitrogen Oxides","CAP","4486.2741420676","TON"
"Miscellaneous","CA","06","San Bernardino","071","Carbon Monoxide","CAP","4479.3789190422","TON"
"Highway Vehicles","CA","06","Marin","041","Carbon Monoxide","CAP","4456.7910224","TON"
